feature,anova_f,anova_pvalue,mutual_info,rf_importance,mean_rank_score
roi_lab_l_q75,1477.3852018400964,0.0,0.5292761492677969,0.00048056565987419626,195.0
global_rgb_ch1_hist_5,263.16874361620233,6.630014622508298e-153,0.5029247522223255,0.006872404447921906,196.33333333333334
roi_hsv_s_q75,1417.5069769394802,0.0,0.5756005371022652,0.00035101923657006193,197.33333333333334
roi_lab_ch2_hist_3,464.1292964612789,5.344423794231266e-251,0.4473040901144314,0.0034137511648144837,197.33333333333334
global_rgb_b_std,988.974595955899,0.0,0.4002642711106661,0.0020706906333214934,197.66666666666666
global_gray_hist_11,411.0391392698539,2.2419645455239512e-226,0.5090050654215408,0.0019276419057519165,197.66666666666666
roi_rgb_ch0_hist_7,325.15616803551865,1.2308361681325364e-184,0.4794961634759547,0.005696305841083004,198.0
global_rgb_b_mean,453.8076091723181,2.807829555570956e-246,0.4408395178820419,0.003854192515879165,198.66666666666666
roi_gray_q75,1509.8767502401547,0.0,0.4986842094145014,0.0005300563442143058,200.0
global_lbp_hist_13,793.9644581285236,0.0,0.3076394247424614,0.006732469498689713,200.66666666666666
roi_gray_hist_15,429.2602384825771,6.352150939528603e-235,0.46570527247887106,0.002441552524656976,202.0
global_lbp_hist_8,475.04697790173225,5.87366547542815e-256,0.46757583343329223,0.0021625493159163475,202.66666666666666
global_hsv_ch2_hist_3,688.7724545240425,0.0,0.49251491869394304,0.0011230335625218065,203.0
roi_rgb_g_q25,1313.0027305713156,0.0,0.5742703150593309,0.0003488336214787892,203.66666666666666
roi_hsv_ch1_hist_2,669.4426631925504,0.0,0.46232362744102007,0.0014265848100833696,205.0
global_gray_iqr,1394.3810696572805,0.0,0.5252445150191876,0.0004121017367357677,205.66666666666666
roi_lab_ch0_hist_8,642.5170767565303,0.0,0.44676476126586784,0.0017805595980264276,207.33333333333334
roi_gray_hist_16,744.7731047415259,0.0,0.48769815418522144,0.0009591592097004297,208.0
global_hsv_ch0_hist_8,459.1433753798833,1.009728959358701e-248,0.5151453046607535,0.0011170907437536074,211.0
roi_lab_ch0_hist_7,375.9866445393741,1.2309504754769784e-209,0.4941590116321919,0.0018558736682482548,211.0
roi_lab_a_mean,1065.082202782489,0.0,0.4539713840171631,0.0008766765527526692,212.0
global_rgb_ch2_hist_3,707.8579807984146,0.0,0.46606562433083454,0.0010640301459686485,213.66666666666666
roi_gray_std,929.9494393084129,0.0,0.36895025085827027,0.001718425098073481,215.66666666666666
global_gray_q25,1593.0850339419308,0.0,0.5805350707868162,0.0001316295365483538,216.33333333333334
roi_glcm_correlation_max,1252.9057112968326,0.0,0.4927624129786159,0.00046276861201688065,219.66666666666666
global_gray_q75,823.1981767617348,0.0,0.5994168846609322,0.0002783011108586026,221.0
global_glcm_contrast_max,1597.264512836357,0.0,0.5117626937267945,0.000249971305061817,221.66666666666666
roi_gray_min,1301.7818494863486,0.0,0.5064783914296966,0.00038377376994604373,222.0
global_lab_ch2_hist_6,667.3129391499593,0.0,0.4087720555261818,0.0014706958790693667,222.33333333333334
roi_hsv_s_max,2031.1072876218245,0.0,0.49579536958684045,0.00018648546305259184,223.33333333333334
roi_contrast,929.9494393084129,0.0,0.36895025085827027,0.0013128259879456527,225.0
global_rgb_ch2_hist_15,386.5424246053261,1.0173074031828862e-214,0.4316333608749998,0.0023008400335701893,226.66666666666666
global_hsv_ch1_hist_4,359.696359248097,1.0153357347358966e-201,0.4784470378865546,0.0014835607974708921,227.0
roi_rgb_r_min,1448.0802978105596,0.0,0.5038433946246477,0.00028575294861335086,227.33333333333334
roi_lab_b_std,1033.4624672881785,0.0,0.4130066103010812,0.0008419418072833408,228.0
roi_lab_l_median,1591.0030536244155,0.0,0.5589253429782699,0.0001201694037080638,228.0
seg_mask_major_axis_length,1225.5488482043343,0.0,0.5493223347961294,0.00023046692426490075,229.33333333333334
global_glcm_contrast_mean,1667.568086185417,0.0,0.5423805221552678,0.00011990687716806064,230.0
roi_rgb_ch1_hist_6,621.8463194456607,1.8304e-319,0.4581461653371204,0.0009388406212739849,230.33333333333334
global_hsv_ch1_hist_9,402.5198325624574,2.4144864470060996e-222,0.4934458284711172,0.001015166333985918,231.0
roi_rgb_ch0_hist_6,339.34075921273114,1.0582025104662474e-191,0.4748397920849641,0.0014806442056125562,232.66666666666666
global_hsv_h_median,146.70886024797616,3.650056394892728e-89,0.5770427199807229,0.0011573899667807746,235.0
global_glcm_homogeneity_mean,719.6972451104125,0.0,0.4637031680889181,0.0006872013582511781,237.0
global_lbp_hist_2,491.9185555367022,1.4903671334423449e-263,0.3328814224313448,0.0023661124401420514,237.33333333333334
roi_rgb_ch0_hist_13,1180.7338513527288,0.0,0.4655448239342259,0.0004061442085717259,238.33333333333334
global_lab_ch2_hist_7,680.0895267248661,0.0,0.41139353501613884,0.0010375444449196474,238.66666666666666
global_hsv_v_median,699.9489867841419,0.0,0.2756997800429466,0.0024534106629580084,239.33333333333334
global_lbp_hist_9,336.2519980863732,3.6070548970905127e-190,0.40109617346546256,0.002718143366557651,239.66666666666666
roi_lab_l_std,910.1990617089027,0.0,0.3851161919529016,0.000887786353114001,240.0
roi_hsv_s_std,888.555694882613,0.0,0.39237504122724043,0.0008895968303847176,240.33333333333334
roi_lab_ch0_hist_6,531.9425060957801,2.9798755262324024e-281,0.45506677275218754,0.0008166707582724316,240.66666666666666
roi_hsv_ch1_hist_11,491.44642220981893,2.4251737515175613e-263,0.3955335418922341,0.0013919667055519406,241.33333333333334
roi_lab_a_q75,794.8954429347391,0.0,0.48458007420232985,0.00044209663118063494,242.33333333333334
global_lab_a_std,1329.763345102245,0.0,0.5105249383448198,0.00018813356194853956,242.33333333333334
global_lab_ch1_hist_7,81.52486315164472,7.513608238408634e-51,0.4842322104412564,0.004026062650208305,243.33333333333334
roi_hsv_ch1_hist_4,636.7428748276388,0.0,0.3741772716944556,0.0011993169367062197,244.66666666666666
global_lbp_hist_14,1005.5887557899331,0.0,0.42358395229161827,0.0005422226998234771,244.66666666666666
global_glcm_contrast_std,1476.4210044371825,0.0,0.4742175242729463,0.0002232072370957784,245.66666666666666
global_lbp_hist_7,521.2311238151005,1.4711619024612375e-276,0.4407053628567077,0.0007924099193229193,248.33333333333334
global_glcm_dissimilarity_mean,1363.9174445996014,0.0,0.5075993642617784,0.00014582166595681302,248.66666666666666
global_hsv_ch1_hist_11,390.5842741515436,1.1772114325323527e-216,0.41815595174205833,0.0012483671250937357,249.0
global_gray_hist_21,1048.6727307484307,0.0,0.4121808348031959,0.0005074767655733541,249.33333333333334
roi_lab_l_min,1041.2182833979973,0.0,0.5366356452716541,0.00014263377172270777,250.66666666666666
global_rgb_b_median,386.0359354629159,1.7803428341535537e-214,0.3325732262452017,0.0023931755379363274,251.33333333333334
roi_rgb_g_std,851.694123146399,0.0,0.37491442205471825,0.0007970528236426368,252.33333333333334
global_lab_a_median,120.53395270924666,5.0734084064577826e-74,0.4607964881962203,0.002607507772152715,253.66666666666666
global_glcm_dissimilarity_std,1493.4189682429792,0.0,0.43392123565189,0.0002631845815894393,255.33333333333334
roi_rgb_ch1_hist_3,517.5090141989097,6.396138748760276e-275,0.37026548994523356,0.0010847938960758714,255.66666666666666
roi_rgb_ch1_hist_4,482.03274575729506,4.111515464962626e-259,0.4342993629827081,0.0007938093121768402,256.3333333333333
roi_edge_density,363.6008056508954,1.2622304434602003e-203,0.38422016962615135,0.001671787221648705,257.0
roi_lab_a_max,1457.3761872142225,0.0,0.45077905347391134,0.00020564907286603514,257.0
roi_rgb_ch1_hist_5,320.8943961420593,1.686218018362325e-182,0.44178376522487395,0.0011560355012378387,257.6666666666667
roi_rgb_r_std,903.7682156338363,0.0,0.36276919649736206,0.0007204741782421369,258.0
global_hsv_ch0_hist_7,206.61948249220785,1.1500402247335831e-122,0.3658490407642516,0.005459331578296483,258.3333333333333
roi_gray_hist_13,365.29763255898933,1.882083435644313e-204,0.4515902406474974,0.0009215545339643249,258.6666666666667
roi_rgb_ch2_hist_14,362.53560477001116,4.1732641588029275e-203,0.2753854898860757,0.004276175804784588,258.6666666666667
roi_gray_hist_14,305.642789339731,8.448673509307027e-175,0.45408707652209435,0.0011140046106830677,259.6666666666667
global_glcm_correlation_max,658.0896210915569,0.0,0.3876837317869306,0.0008161071168062059,260.3333333333333
roi_edge_mean_intensity,363.6008056508956,1.2622304434596262e-203,0.38456993862574085,0.0014341424019201853,260.6666666666667
global_rgb_ch1_hist_3,400.62391975056227,1.9199762924886168e-221,0.4487721267158513,0.0007750615674192018,262.6666666666667
global_glcm_homogeneity_max,793.2453405461195,0.0,0.37107155500979894,0.0006735995019302516,266.0
roi_hsv_ch1_hist_9,476.1522247267358,1.8570362425039466e-256,0.4389773199388227,0.0006354651622215064,267.6666666666667
global_hsv_ch2_hist_2,538.1281405976998,5.996937414254667e-284,0.40283040039236306,0.0006503651694214755,271.0
global_hsv_ch1_hist_3,442.4251640431643,4.906213410506259e-241,0.4325099849351448,0.0006720790277309527,272.3333333333333
roi_gray_hist_11,515.8021387589547,3.6179035872069163e-274,0.40423898184838314,0.0006209153578525777,273.3333333333333
global_rgb_ch0_hist_13,401.8135481243217,5.2256870687467596e-222,0.31014042072454795,0.0013018102625040752,274.3333333333333
global_glcm_homogeneity_min,750.9131671561025,0.0,0.4401523941540302,0.0003434532538165949,274.6666666666667
global_rgb_ch0_hist_10,757.2471941290099,0.0,0.4013995657385705,0.0004186966741887398,276.0
global_lbp_hist_3,352.89046328387326,2.1896306623544132e-198,0.2923280494019094,0.002016848225399074,276.0
roi_gray_hist_12,477.1182980986924,6.791919097130949e-257,0.43632986385168726,0.000483370473233495,277.3333333333333
global_rgb_ch2_hist_6,122.87225688335283,2.1853297336400482e-75,0.42616909153449245,0.0018427638011408343,278.0
global_rgb_ch0_hist_14,450.8081337827666,6.69983304531286e-245,0.2992681828596482,0.0011281709395525015,278.6666666666667
global_rgb_ch0_hist_11,399.96111886644155,3.9661228734011225e-221,0.3609912665143371,0.0010042046502777397,278.6666666666667
roi_hsv_ch0_hist_7,657.6482241036448,0.0,0.36591894073706377,0.0006127134139817758,280.6666666666667
roi_hsv_ch1_hist_12,489.9117335433127,1.1816952142288548e-262,0.2938287097378578,0.0010034395123697884,283.3333333333333
roi_hsv_ch0_hist_8,486.78954742029487,2.976901901811482e-261,0.34751544862763795,0.0007374398742317881,284.6666666666667
global_hsv_ch1_hist_12,425.0606368198503,5.805786147676381e-233,0.28164575701287076,0.0011324060562693948,286.6666666666667
roi_hsv_ch2_hist_14,349.87128964578756,6.672761080447747e-197,0.26619422332070775,0.0019357317203070432,286.6666666666667
global_hsv_h_q75,25.77713311268917,1.781846097688684e-16,0.4375321580660847,0.0030638678816563955,287.0
global_glcm_dissimilarity_min,991.3247730233769,0.0,0.4000592744969871,0.00023082201704225212,288.3333333333333
global_lbp_std,166.59141896665875,1.8584469658144475e-100,0.3963750259482488,0.0014612841761273679,289.0
global_rgb_ch0_hist_5,152.47821051092743,1.8492197497652424e-92,0.41442281880921583,0.0012827279292120417,289.0
roi_lab_ch0_hist_10,765.6878463434148,0.0,0.310301794055861,0.0004924446768519984,290.0
global_gray_hist_25,353.54850200484043,1.040769948068542e-198,0.3359513453502283,0.0009553940783620764,291.6666666666667
global_rgb_ch1_hist_12,427.23130081989456,5.618545668802936e-234,0.3087037963111381,0.0008447661372794837,292.0
roi_lab_ch2_hist_2,447.4022346151739,2.4756669593053817e-243,0.33133345110376844,0.0007253063315305542,293.3333333333333
global_rgb_ch1_hist_10,938.832390813136,0.0,0.38463696420647087,0.0002406556565985107,294.0
global_rgb_ch1_hist_11,493.04789321478484,4.653337034754191e-264,0.3628078334186333,0.000522467351770875,294.6666666666667
global_hsv_ch0_hist_3,97.28527911369069,2.667856071361966e-60,0.49471954331561774,0.0007511222266351338,297.0
global_glcm_homogeneity_std,709.3379235710089,0.0,0.309265071573938,0.00045211098860051214,298.3333333333333
roi_rgb_ch2_hist_15,420.276847449238,1.009764111889967e-230,0.27147045743608045,0.0009789371538524011,299.6666666666667
global_lab_ch2_hist_2,309.2307219769474,1.2819118786482264e-176,0.2950561621185521,0.0011982640616131502,299.6666666666667
global_glcm_correlation_mean,900.4874151503599,0.0,0.3754218352756047,0.00023970894903531132,300.3333333333333
global_lbp_hist_11,514.6317637750577,1.1882923013430926e-273,0.2602910229171984,0.0008232048275535438,300.6666666666667
global_gray_hist_10,377.2068779672548,3.168169819883986e-210,0.3269862127691754,0.0007870415998078525,300.6666666666667
roi_hsv_ch2_hist_15,415.50965053195415,1.7534238922198032e-228,0.2610476531949204,0.0010274949817788298,301.0
